G_CHAINAGE,G_RAILLEVEL,G_LINE,G_TAIL,G_HEAD
753000,30.735,,F 158,F 102
753540,27.307,,F 102,F 272
754500,17.897,,F 272,F 672
754920,16.363,,F 672,
